message	domain
Barbeque nation	food
Which is the cheap & best 3g post paid for net	recharge
How much is the rate for 3 tyre ac train to goa from mumbai	travel
Check ticket for 26 th available for Baroda mumbai baroda express	travel
Any hotel near  Rac drdo centre timarpur luckhnow road.	travel
Any cheap food	food
My order status please	shopping
looking for train from kapurthala to pathankot today	travel
And train from Meerut to dehradun	travel
Can you order Redmi 3s prime (gold)	shopping
I want to buy some books	shopping
Soup	food
I want to order food for home delivery	food
Can u give me any offer for majnu movie on Saturday luxe cinemas chennai	movies
SBI bank Branch	nearby
Hotel grandserina	travel
Hdfc bank kandivli branch	nearby
Janatha garage tickets	movies
Shirts	shopping
Its a return flight right?	travel
Morning 7	reminders
i need a bank of baroda cash deposit machine	nearby
It's a date reminder	reminders
i need clarks men loafers ,size 9	shopping
Candle light dinner?	food
In wich cinema?	movies
Cashback only if u recharge for 10?	recharge
Best food outings at Hyderabad	food
How to set reminder every month on fix date?	reminders
Can u send me jio lyf phones with 2gb ram	shopping
dont  forget to wake up	reminders
And Bangkok to Chennai?	travel
Can I know how much time it takes. From Chennai to united kingdom through flight	travel
Indian bank atm near Kattupakkam	nearby
I've already said to cancel my morning reminder	reminders
Show me best mobile sets between 7500 ruppes	shopping
Mi marathi	movies
Can u find a hotel in mondarmani beach side area	travel
Hello.. can you tell me the Telugu movies releasing this week ..	movies
Hey, can you find me the nearest best restaurants?	nearby
Is there any plan for idea or reliance	recharge
Mutual fund	support
Check for tatkal again.	travel
Wakeup call 7am today	reminders
I want aloo wada	food
Y didnot call me	reminders
Are there only 5 seats in dehradun express train number 19020?	travel
Bombay to Nairobi direct flight	travel
Next query would be next web check in from BLR to Vijayawada on Spicejet	travel
I need sleeper	travel
I need watches buy 1 get 1 free under 1000	shopping
Nearby medicine shop	nearby
Magnify lens	shopping
Volvo pls	travel
Can you show this in red colour	shopping
Reminder to mobile me bhi set ho jata hai	reminders
visa	travel
Train from guntakal andhrapradesh to pune	travel
Bangalore, kaveri theater. It's near by,	movies
What is realising date of shivaay movie	movies
Icic atm service  near me	nearby
Which brand socks?	shopping
On Thursday I need to book tckt in tatkal	travel
Give me details about iPhone 7	shopping
Can u get me the location  of the nearest reliance digital store or mini store where i cn gt a jio sim	nearby
Check flight from Gorakhpur to delhi	travel
Tell me 2class train ticket as gurugram	travel
Nearby place to visit	nearby
Check 56320 train and temme all details	travel
Book travel ticket from wardha to karanja	travel
Hi, I want to book tickets for PINK.{banner}	movies
which is best restaurant for north Indian food in ahmedabad with village theme in open place...	food
I have to reach Goa on 18 or 19....please give me the best flight or train tickets rate to reach Madgaon ( flight) or Thivim or Perene ( train)	travel
I want a decent ear phone under RS 700	shopping
How can it be possible? Will you get me the total expenses if I have to travel to Goa for 4 days with my family. Family size Me and my spouse.	travel
i need 32 inch	shopping
Margherita	food
Hi, I want to buy a travel package{task}	travel
Cafe dalal street?	food
Chino shorts	shopping
Please show me	reminders
I not like hindi movies	movies
malayalam movies	movies
Can u find me cheapest tickets to egypt	travel
Hi I've to go to airport tomorrow... Can u book cab for me?	travel
how to buy ?	shopping
what is the distance from karaikal to poovathadi beach	travel
Can i get food delivery in train while traveling?	food
Is there any cab booking	travel
Remind me at 4:23 i want to fuck	reminders
Order recieved	food
Pls stop water remainder	reminders
Jabalpur to delhi flight cheapest....16.11.16....nd 16.10.16	travel
20 October ki tickets chaye tickets price	movies
Pls tell me about balia to arihar train at the time	travel
Cheapest biryani near by!!	food
Hi I am looking for a gift for my gf..can I have some suggestions??	shopping
Cancel wake up calls	reminders
Could u please check the current seat availability for 13th November from Mysuru Jn to Chennai Central.	travel
Yes looking for bus tkt	travel
Can u give me the best deal in hotel in coorg.  Check in 8th October checkout 9th	travel
Set it for today not tomorrow	reminders
Secunderabad to diksukhnagar distance	travel
Please turn off this reminder	reminders
Can u say me iphone 7 cost	shopping
Not this train	travel
I need axis bank	nearby
I want to buy Asus x551ca battery	shopping
Mobile phone	shopping
I wanted only I phone 6	shopping
Review of rustom	movies
Switch off all alarms this week	reminders
I need to clean my bathroom	support
Can u send me pic of iPhone 7	shopping
Nearest mAssage service	nearby
Hey there, can you help with booking flight tickets?{banner}	travel
Higginbotham book stall in chennai	food
Remind me to meet at 7 today evening	reminders
My friend want to purchase combo pack of nail paints	shopping
I have to make reminder daily	reminders
Reliance gsm...rate cutter...	recharge
Need taxi	travel
I also have iPro IP56 Smartphone Power Bank 5600 mAh  (White) for Rs. 399 on Flipkart i like this	shopping
Sleek Line Men's Solid Casual Light Blue Shirt available on flipakrt for Rs. 349	shopping
What about 2camera in iPhone 7	shopping
Any mobile exchange deal for my galaxy note 4?	shopping
Is a train ticket available for tonight? 3AC.	travel
I wanna buy a smart watch	shopping
New delhi to goa	travel
Heyy. Will u please find me a train from Sevagram to Warora, for today?	travel
I want to know about train Lucknow to barabanki	travel
Nearest atm of central bank of India	nearby
Need a comparison bw v3max n vibe k5 note	shopping
Which one is better vivo v3 or moto g4 plys	shopping
Hi I need to get a taxi from dehradun airport to Mussorie	travel
No I want for dinner	food
I has asked to disable the water reminder	reminders
Meeting with Sanjiv on 25 the September at 8am	reminders
